agency,contractor,adj_weight,chemical
0,31,0.306580386,Corrosion
0,31,0.119107955,Corrosion
0,31,0.718991654,Corrosion
1,32,0.00023736,Coating
1,32,2.33212E-05,Coating
1,32,7.04502E-05,Coating
1,32,0.000186477,Corrosion
1,32,1.12937E-05,Coating
1,32,0.000186477,Corrosion
1,32,2.33212E-05,Coating
1,32,0.000186477,Corrosion
1,32,5.41641E-06,Coating
1,32,0.000186477,Corrosion
1,32,1.12937E-05,Coating
1,32,2.30483E-05,Coating
1,32,5.41641E-06,Coating
1,32,2.94418E-05,Coating
1,32,5.51965E-06,Coating
1,32,4.29552E-06,Coating
1,32,4.29552E-06,Coating
1,32,3.2834E-05,Coating
1,32,0.000560353,Corrosion
1,32,0.000186477,Corrosion
1,32,0.000560353,Corrosion
1,32,3.52122E-05,Coating
1,32,6.5325E-05,Coating
1,32,3.52122E-05,Coating
1,32,0.000186477,Corrosion
1,32,2.33212E-05,Coating
1,32,7.53909E-05,Coating
1,32,2.94418E-05,Coating
1,32,2.33212E-05,Coating
1,32,2.33212E-05,Coating
1,32,1.14301E-05,Coating
1,32,1.14301E-05,Coating
1,32,5.41641E-06,Coating
1,32,2.94418E-05,Coating
1,32,0.000280499,Coating
1,32,4.73834E-05,Coating
1,32,5.51965E-06,Coating
1,32,0.001868919,Corrosion
1,32,0.000186477,Corrosion
1,32,0.000186477,Corrosion
1,32,2.34613E-05,Coating
1,32,1.12937E-05,Coating
1,32,0.000186477,Corrosion
1,32,0.000186477,Corrosion
1,32,0.000373415,Corrosion
1,32,5.51965E-06,Coating
1,32,5.41641E-06,Coating
1,32,0.000186477,Corrosion
1,32,2.33212E-05,Coating
1,32,1.12937E-05,Coating
1,32,5.41641E-06,Coating
1,32,2.94418E-05,Coating
1,32,5.41641E-06,Coating
1,32,0.000186477,Corrosion
1,32,0.000373415,Corrosion
1,32,2.80776E-05,Coating
1,32,1.74807E-05,Coating
1,32,0.001868919,Corrosion
1,32,0.000293404,Coating
1,32,0.001868919,Corrosion
1,32,5.41641E-06,Coating
1,32,0.000186477,Corrosion
1,32,2.34613E-05,Coating
1,32,5.41641E-06,Coating
1,32,0.000186477,Corrosion
1,32,2.94418E-05,Coating
1,32,5.41641E-06,Coating
1,32,0.000186477,Corrosion
1,32,0.000316913,Coating
1,32,0.000186477,Corrosion
1,32,1.15002E-05,Coating
1,32,3.75904E-05,Coating
1,32,0.001868919,Corrosion
1,32,0.000186477,Corrosion
1,32,0.000186477,Corrosion
1,32,3.54223E-05,Coating
1,32,0.000186477,Corrosion
1,32,0.009346437,Corrosion
1,32,0.000186477,Corrosion
1,32,2.94418E-05,Coating
1,32,0.000186477,Corrosion
1,32,5.51965E-06,Coating
1,32,4.29552E-06,Coating
1,32,0.000747291,Corrosion
1,32,5.41641E-06,Coating
1,32,0.000186477,Corrosion
1,32,0.000186477,Corrosion
1,32,1.15002E-05,Coating
