prime,sub,amount,
BOOZ ALLEN HAMILTON INC.,"MCKEAN DEFENSE GROUP, LLC",24825,
BOOZ ALLEN HAMILTON INC.,"MCKEAN DEFENSE GROUP, LLC",85810,
BATTELLE MEMORIAL INSTITUTE,EST COMPANIES LLC,45078,
BATTELLE MEMORIAL INSTITUTE,"VISION POINT SYSTEMS, INC.",562934,
BATTELLE MEMORIAL INSTITUTE,MILSPRAY LLC,330649,
BATTELLE MEMORIAL INSTITUTE,"PRIMETECH INTERNATIONAL, INC.",1533648,
BATTELLE MEMORIAL INSTITUTE,DELTA T LLC,1897049,
JACOBS TECHNOLOGY INC.,"MET-CON, INC.",214527,
JACOBS TECHNOLOGY INC.,GREENFIELD DIVERSIFIED LLC,163951,
JACOBS TECHNOLOGY INC.,"MET-CON, INC.",72586,
JACOBS TECHNOLOGY INC.,"MET-CON, INC.",70117,
JACOBS TECHNOLOGY INC.,"KTA-TATOR, INC.",217700,
"STANLEY CONSULTANTS, INC.","MILLER DUNWIDDIE ARCHITECTURE, INC.",49960,
INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,"TRIDENT TECHNOLOGIES, LLC",446112,
INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,"TRIDENT TECHNOLOGIES, LLC",146828,
INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,"TRIDENT TECHNOLOGIES, LLC",770205,
INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,"TRIDENT TECHNOLOGIES, LLC",645490,
"WYLE LABORATORIES, INC.","MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",207928,
"WESTON SOLUTIONS, INC.","SUPERIOR INDUSTRIAL MAINTENANCE COMPANY, LLC",106120,
"WESTON SOLUTIONS, INC.",COR-RAY PAINTING CO.,29810,
"WESTON SOLUTIONS, INC.","THOMAS INDUSTRIAL COATINGS, INC.",125722,
"WESTON SOLUTIONS, INC.",COR-RAY PAINTING CO.,121624,
"WESTON SOLUTIONS, INC.",COR-RAY PAINTING CO.,71053,
"WESTON SOLUTIONS, INC.",COR-RAY PAINTING CO.,138550,
"WESTON SOLUTIONS, INC.","THOMAS INDUSTRIAL COATINGS, INC.",49468,
"BURNS & MCDONNELL ENGINEERING COMPANY, INC.","CORRPRO COMPANIES, INC.",346172,
"BURNS & MCDONNELL ENGINEERING COMPANY, INC.","CORRPRO COMPANIES, INC.",146079,
UNIVERSITY OF DAYTON,"PAVCON, LLC",669978,
UNIVERSITY OF DAYTON,"PAVCON, LLC",669978,
UNIVERSITY OF DAYTON,LUNA INNOVATIONS INCORPORATED,80797,
ALUTIIQ COMMERCIAL ENTERPRISES LLC,"CHEM-AQUA, INC.",1056141,
ALUTIIQ COMMERCIAL ENTERPRISES LLC,"CHEM-AQUA, INC.",1056141,
ALUTIIQ COMMERCIAL ENTERPRISES LLC,"CHEM-AQUA, INC.",1056141,
ALUTIIQ COMMERCIAL ENTERPRISES LLC,"CHEM-AQUA, INC.",971322,
ALUTIIQ COMMERCIAL ENTERPRISES LLC,"CHEM-AQUA, INC.",1056141,
BAYFIRST SOLUTIONS LLC,ABSG CONSULTING INC.,71145,
"ADVANCED PROJECT CONSULTING, LLC",INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,113804,
"EXCET, INC.","AZIMUTH TECHNICAL CONSULTANTS, INC.",28590,
"EXCET, INC.","RAMPART, LLC",32850,
"EXCET, INC.","RAMPART, LLC",68960,
"EXCET, INC.","VISION POINT SYSTEMS, INC.",58521,
"EXCET, INC.","TIDAL CORROSION SERVICES, LLC",259000,
"UNITED LAUNCH SERVICES, LLC",COR-RAY PAINTING CO.,1421605,
"UNITED LAUNCH SERVICES, LLC","SDB ENGINEERS AND CONSTRUCTORS, INC.",699686,
"MCKEAN DEFENSE GROUP, LLC",ELZLY TECHNOLOGY CORPORATION,90941,
"ITA INTERNATIONAL, LLC","MCHENRY MANAGEMENT GROUP, INC., THE",610297,
