chemical,amount,agency,contractor
Corrosion,1662974.15,DEPT OF THE AIR FORCE,A & L SANCHEZ PAINTING AND CONSTRUCTION INC
Corrosion,646074.99,DEPT OF THE AIR FORCE,A & L SANCHEZ PAINTING AND CONSTRUCTION INC
Corrosion,3900000,DEPT OF THE AIR FORCE,A & L SANCHEZ PAINTING AND CONSTRUCTION INC
Coating,1290,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,129,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,384.64,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,63.76,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,129,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,63.76,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,127.52,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,162.2,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,32.44,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,25.8,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,25.8,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,180.6,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,3042,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,3042,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,193.5,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,356.84,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,193.5,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,129,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,411.44,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,162.2,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,129,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,129,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,64.5,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,64.5,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,162.2,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,1524,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,259.52,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,32.44,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,10140,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,129.76,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,63.76,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,2028,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,32.44,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,129,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,63.76,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,162.2,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,2028,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,154.8,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,97.32,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,10140,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,1594,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,10140,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,129.76,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,162.2,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,1721.52,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,64.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,206.4,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,10140,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,194.64,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,50700,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,162.2,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,32.44,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,25.8,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,4056,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,64.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,129,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,32.44,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,63.76,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,14196,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,2538.42,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,64.5,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,2028,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,4056,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,129,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,510.08,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,318.8,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,259.52,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,32.44,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,2028,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,25.8,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,32.44,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,32.44,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,51.6,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,2028,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,51.6,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,51.6,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,258,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,64.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,97.32,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,32.44,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,3042,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,8112,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,2028,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,194.64,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,2028,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,32.44,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,645,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,1625.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,64.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,2028,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,1014,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,3042,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,1524,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,32.44,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,31.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Corrosion,2028,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,64.5,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,64.88,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,7615.26,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
Coating,194.64,DEFENSE LOGISTICS AGENCY,A.M.S. NETWORK  LLC
